name,team_abbr,season_year,position,games,ppg,rpg,apg,spg,bpg,fg_pct,ts_pct
Michael Jordan,CHI,1987,G,82,37.1,5.2,4.6,2.9,1.5,0.482,0.562
Kobe Bryant,LAL,2006,G,80,35.4,5.3,4.5,1.8,0.4,0.450,0.559
James Harden,HOU,2019,G,78,36.1,6.6,7.5,2.0,0.7,0.442,0.616
Stephen Curry,GSW,2016,G,79,30.1,5.4,6.7,2.1,0.2,0.504,0.669
Allen Iverson,PHI,2006,G,72,33.0,3.2,7.4,1.9,0.1,0.447,0.554
Tracy McGrady,ORL,2003,G,75,32.1,6.5,5.5,1.7,0.8,0.457,0.564
Dwyane Wade,MIA,2009,G,79,30.2,5.0,7.5,2.2,1.3,0.491,0.574
Kevin Durant,OKC,2014,F,81,32.0,7.4,5.5,1.3,0.7,0.503,0.635
LeBron James,CLE,2006,F,79,31.4,7.0,6.6,1.6,0.8,0.480,0.568
Russell Westbrook,OKC,2017,G,81,31.6,10.7,10.4,1.6,0.4,0.425,0.554
Damian Lillard,POR,2023,G,58,32.2,4.8,7.3,0.9,0.3,0.463,0.640
Joel Embiid,PHI,2023,C,66,33.1,10.2,4.2,1.0,1.7,0.548,0.655
Vince Carter,TOR,2001,G,75,27.6,5.5,3.9,1.5,1.1,0.460,0.521
Carmelo Anthony,NYK,2013,F,67,28.7,6.9,2.6,0.8,0.5,0.449,0.560
Devin Booker,PHX,2022,G,68,26.8,5.0,4.8,1.1,0.4,0.466,0.583
Luka Doncic,DAL,2024,G,70,33.9,9.2,9.8,1.4,0.5,0.487,0.609
Shaquille O'Neal,LAL,2000,C,79,29.7,13.6,3.8,0.5,3.0,0.574,0.578
Tim Duncan,SAS,2002,C,82,25.5,12.7,3.7,0.7,2.5,0.508,0.551
Kevin Garnett,MIN,2004,F,82,24.2,13.9,5.0,1.5,2.2,0.499,0.547
Nikola Jokic,DEN,2022,C,74,27.1,13.8,7.9,1.5,0.9,0.583,0.661
Dwight Howard,ORL,2011,C,78,22.9,14.1,1.4,1.4,2.4,0.593,0.619
Pau Gasol,LAL,2011,F,82,18.8,10.2,3.3,0.6,1.6,0.529,0.582
Amare Stoudemire,PHX,2008,F,79,25.2,9.1,1.6,0.6,2.1,0.590,0.622
Andrew Bynum,LAL,2012,C,60,18.7,11.8,1.4,0.5,1.9,0.558,0.551
David Robinson,SAS,1994,C,80,29.8,10.7,4.8,1.7,3.3,0.507,0.581
Hakeem Olajuwon,HOU,1994,C,80,27.3,11.9,3.6,1.6,3.7,0.528,0.566
Anthony Davis,NOP,2018,F,75,28.1,11.1,2.3,1.5,2.6,0.534,0.612
Giannis Antetokounmpo,MIL,2020,F,63,29.5,13.6,5.6,1.0,1.0,0.553,0.613
Chris Paul,NOH,2008,G,80,21.1,4.0,11.6,2.7,0.1,0.488,0.576
Steve Nash,PHX,2007,G,76,18.6,3.5,11.6,0.8,0.1,0.532,0.654
John Stockton,UTA,1990,G,78,17.2,2.6,14.5,2.7,0.3,0.514,0.610
LeBron James,LAL,2020,F,67,25.3,7.8,10.2,1.2,0.5,0.493,0.577
Trae Young,ATL,2022,G,76,28.4,3.7,9.7,0.9,0.1,0.460,0.591
Jason Kidd,NJN,2003,G,80,18.7,6.3,8.9,2.2,0.3,0.414,0.490
